,Date,Region,TotalInfected,NewInfected,Recovered,NewRecovered,Deceased,NewDeceased
0,2020-04-29,Andaman and Nicobar Islands,33,,15,,0,
1,2020-04-29,Andhra Pradesh,1259,,258,,31,
2,2020-04-29,Arunachal Pradesh,1,,1,,0,
3,2020-04-29,Assam,38,,27,,1,
4,2020-04-29,Bihar,366,,64,,2,
5,2020-04-29,Chandigarh,56,,17,,0,
6,2020-04-29,Chhattisgarh,38,,34,,0,
7,2020-04-29,Delhi,3314,,1078,,54,
8,2020-04-29,Goa,7,,7,,0,
9,2020-04-29,Gujarat,3744,,434,,181,
10,2020-04-29,Haryana,310,,209,,3,
11,2020-04-29,Himachal Pradesh,40,,25,,1,
12,2020-04-29,Jammu and Kashmir,565,,176,,8,
13,2020-04-29,Jharkhand,103,,17,,3,
14,2020-04-29,Karnataka,523,,207,,20,
15,2020-04-29,Kerala,485,,359,,4,
16,2020-04-29,Ladakh,22,,16,,0,
17,2020-04-29,Madhya Pradesh,2387,,377,,120,
18,2020-04-29,Maharashtra,9318,,1388,,400,
19,2020-04-29,Manipur,2,,2,,0,
20,2020-04-29,Meghalaya,12,,0,,1,
21,2020-04-29,Mizoram,1,,0,,0,
22,2020-04-29,Odisha,118,,38,,1,
23,2020-04-29,Puducherry,8,,3,,0,
24,2020-04-29,Punjab,322,,71,,19,
25,2020-04-29,Rajasthan,2364,,768,,51,
26,2020-04-29,Tamil Nadu,2058,,1168,,25,
27,2020-04-29,Telengana,1004,,321,,26,
28,2020-04-29,Tripura,2,,2,,0,
29,2020-04-29,Uttarakhand,54,,33,,0,
30,2020-04-29,Uttar Pradesh,2053,,462,,34,
31,2020-04-29,West Bengal,725,,119,,22,
32,2020-04-29,31332*,"
	7696
	",,"
	1007
	",,,
33,2020-04-29,,,,,,,
34,2020-04-29,,,,,,,
35,2020-04-29,Andaman and Nicobar Islands,33,,15,,0,
36,2020-04-29,Andhra Pradesh,1332,,287,,31,
37,2020-04-29,Arunachal Pradesh,1,,1,,0,
38,2020-04-29,Assam,38,,27,,1,
39,2020-04-29,Bihar,383,,64,,2,
40,2020-04-29,Chandigarh,56,,17,,0,
41,2020-04-29,Chhattisgarh,38,,34,,0,
42,2020-04-29,Delhi,3314,,1078,,54,
43,2020-04-29,Goa,7,,7,,0,
44,2020-04-29,Gujarat,3774,,434,,181,
45,2020-04-29,Haryana,310,,209,,3,
46,2020-04-29,Himachal Pradesh,40,,25,,1,
47,2020-04-29,Jammu and Kashmir,565,,176,,8,
48,2020-04-29,Jharkhand,105,,19,,3,
49,2020-04-29,Karnataka,532,,215,,20,
50,2020-04-29,Kerala,486,,359,,4,
51,2020-04-29,Ladakh,22,,16,,0,
52,2020-04-29,Madhya Pradesh#,2561,,377,,119#,
53,2020-04-29,Maharashtra,9318,,1388,,400,
54,2020-04-29,Manipur,2,,2,,0,
55,2020-04-29,Meghalaya,12,,0,,1,
56,2020-04-29,Mizoram,1,,0,,0,
57,2020-04-29,Odisha,119,,38,,1,
58,2020-04-29,Puducherry,8,,3,,0,
59,2020-04-29,Punjab,322,,71,,19,
60,2020-04-29,Rajasthan,2364,,768,,51,
61,2020-04-29,Tamil Nadu,2058,,1168,,25,
62,2020-04-29,Telengana,1012,,367,,26,
63,2020-04-29,Tripura,2,,2,,0,
64,2020-04-29,Uttarakhand,54,,34,,0,
65,2020-04-29,Uttar Pradesh,2115,,477,,36,
66,2020-04-29,West Bengal,725,,119,,22,
67,2020-04-29,31787*,"
	7797
	",,"
	1008
	",,,
68,2020-04-29,,,,,,,
69,2020-04-29,,,,,,,
70,2020-04-29,,,,,,,
71,2020-04-29,,,,,,,
72,2020-04-30,Andaman and Nicobar Islands,33,,15,,0,
73,2020-04-30,Andhra Pradesh,1332,,287,,31,
74,2020-04-30,Arunachal Pradesh,1,,1,,0,
75,2020-04-30,Assam,38,,29,,1,
76,2020-04-30,Bihar,392,,65,,2,
77,2020-04-30,Chandigarh,56,,17,,0,
78,2020-04-30,Chhattisgarh,38,,34,,0,
79,2020-04-30,Delhi,3439,,1092,,56,
80,2020-04-30,Goa,7,,7,,0,
81,2020-04-30,Gujarat,4082,,527,,197,
